mac_addr,drc_id,pressure_board_temp,pressure_env_port1,pressure_env_port2,pressure_env_port3,pressure_env_port4,latex_board_temp,latex_env_port1,latex_env_port2,latex_env_port3,latex_env_port4,qty,optional_field3,drc_percent_manual,thai_date_created,date_created,probe
846990580,B7:7B:1A:08:13:27,27.5,25119.45,57120.37,32950.8,40478.09,27.5,25121.92,57127.76,32963.16,40466.98,90.1,30,AIR1,2024-08-22 07:30:40.551000,2024-08-22 00:30:40.551000,P1
846990580,B7:7B:1A:08:13:27,27.75,25122.44,57114.97,32959.87,40479.6,27.75,25123.89,57132.07,32962.71,40474.79,90.2,30,AIR1,2024-08-22 07:31:44.885000,2024-08-22 00:31:44.885000,P1
846990580,B7:7B:1A:08:13:27,27.88,25129.26,57133.84,32972.34,40470.65,28,25128.74,57136.38,32978.17,40481.35,90.3,30,AIR1,2024-08-22 07:32:49.608000,2024-08-22 00:32:49.608000,P1
846990580,B7:7B:1A:08:13:27,28.25,25130.2,57113.96,32982.58,40496.27,28.38,25041.71,53803.65,52021.01,21397.86,10.9,30,WATER1,2024-08-22 07:34:31.860000,2024-08-22 00:34:31.860000,P1
846990580,B7:7B:1A:08:13:27,28.38,25139.43,57165.83,33056,40378.63,28.5,25033.42,54043.04,51520.01,21651.17,10.8,30,WATER1,2024-08-22 07:35:31.142000,2024-08-22 00:35:31.142000,P1
846990580,B7:7B:1A:08:13:27,28.5,25143.88,57134.93,33023.21,40476.33,28.63,25028.28,54063.7,51452,21691.36,10.7,30,WATER1,2024-08-22 07:36:20.021000,2024-08-22 00:36:20.021000,P1
846990580,B7:7B:1A:08:13:27,28.75,25144.13,57139.73,33039.81,40452,28.75,25118.58,54967.07,44045.81,28926.51,80.1,30,FINGER1,2024-08-22 07:37:24.319000,2024-08-22 00:37:24.319000,P1
846990580,B7:7B:1A:08:13:27,28.88,25148.15,57143.03,33036.37,40469.23,28.88,25118.5,55047.24,43795.29,29139.97,80.2,30,FINGER1,2024-08-22 07:38:22.481000,2024-08-22 00:38:22.481000,P1
846990580,B7:7B:1A:08:13:27,29,25149.29,57142.79,33010.53,40527.64,29,25122.99,54992.08,43920.51,29062.22,80.3,30,FINGER1,2024-08-22 07:40:01.689000,2024-08-22 00:40:01.689000,P1
846990580,B7:7B:1A:08:13:27,29.38,25155.34,57128.07,33040.19,40485.88,29.25,25045.45,56153.85,41325.04,30892.22,20.1,30,25.9,2024-08-22 07:41:47.190000,2024-08-22 00:41:47.190000,P1
846990580,B7:7B:1A:08:13:27,29.75,25151.32,57129.96,33012.03,40533.86,29.63,25048.72,56014.89,41945.09,30310.13,20.2,30,25.9,2024-08-22 07:43:36.724000,2024-08-22 00:43:36.724000,P1
846990580,B7:7B:1A:08:13:27,29.88,25165.75,57136.08,32963.97,40617.36,30,25059.21,56017.44,41951.72,30326,20.3,30,25.9,2024-08-22 07:44:59.281000,2024-08-22 00:44:59.281000,P1
846990580,B7:7B:1A:08:13:27,30.13,25175.82,57109.57,32913.86,40742.35,30.13,25055.08,55967.19,42155.21,30135.96,20.4,30,25.9,2024-08-22 07:46:05.548000,2024-08-22 00:46:05.548000,P1
846990580,B7:7B:1A:08:13:27,30.13,25177.38,57095.99,32889.81,40796.53,30.25,25052.9,55951.23,42200,30101.28,20.5,30,25.9,2024-08-22 07:47:01.457000,2024-08-22 00:47:01.457000,P1
846990580,B7:7B:1A:08:13:27,30.25,25175.41,57116.7,32939.5,40708.58,30.25,25060.2,56540.69,39397.01,32888.46,21.1,30,35,2024-08-22 07:47:52.483000,2024-08-22 00:47:52.483000,P1
846990580,B7:7B:1A:08:13:27,30.38,25171.99,57092.48,32941.94,40701.84,30.38,25062.1,56550.44,39274.21,33027.79,21.2,30,35,2024-08-22 07:48:49.845000,2024-08-22 00:48:49.845000,P1
846990580,B7:7B:1A:08:13:27,30.5,25182.83,57108.17,32903.81,40797.56,30.5,25063.25,56539.07,39396.56,32903.93,21.3,30,35,2024-08-22 07:49:52.694000,2024-08-22 00:49:52.694000,P1
846990580,B7:7B:1A:08:13:27,30.63,25191.62,57086.59,32892.61,40839.83,30.63,25069.48,56207.91,40884.26,31438.34,22.1,30,34.6,2024-08-22 07:50:58.603000,2024-08-22 00:50:58.603000,P1
846990580,B7:7B:1A:08:13:27,30.75,25189.62,57103.35,32902.73,40822.27,30.75,25073.45,56105.63,41401.69,30947.79,22.2,30,34.6,2024-08-22 07:51:59.868000,2024-08-22 00:51:59.868000,P1
846990580,B7:7B:1A:08:13:27,30.88,25192.57,57076.92,32862.09,40913.93,30.88,25072.32,56195.62,40984.01,31373.82,22.3,30,34.6,2024-08-22 07:52:48.156000,2024-08-22 00:52:48.156000,P1
846990580,B7:7B:1A:08:13:27,31,25193.06,57096.33,32963.61,40750.74,31,25071.77,56298.84,40562.63,31787.45,23.1,30,37.8,2024-08-22 07:53:35.465000,2024-08-22 00:53:35.465000,P1
846990580,B7:7B:1A:08:13:27,31,25197.91,57087.34,32887.95,40901,31,25078.05,56399.66,40112.31,32246.56,23.2,30,37.8,2024-08-22 07:54:17.564000,2024-08-22 00:54:17.564000,P1
